Material,Matl-Comp,Package Size,4.4 MSU转换,FormulaName,Type,Note,SUF,Brand,Seg
80820484,21196959,700,1387.137453,SHM GH140OT,PO shampoo,GH140o T+0.5H D2N20S08 0.3PO KTN 0.7JA,3.172,EC,On going
80820491,21156208,600,1618.301519,SHM BC177N,PO shampoo,GH140o T+0.5H D2N20S08 0.3PO KTN 0.7JA,2.7189,EC,pack
80820490,21166098,750,1294.650739,SHM BC177N,PO shampoo,BC177N G1XJ151000 o0.3 0.6SunnyCitrus RJ,3.3986,EC,On going
21205317,90464173,200,56555.26992,SHM BC162H VRC,Climbazole shampoo,BC162Hs VRc48048 0.45C 0.57FR PN,0.0778,PTN,pack
21190490,90454578,200,56555.26992,SHM BC162H VRC,Climbazole shampoo,BC162Hs VRc48067 0.45C 0.57FR PN,0.0778,PTN,pack
21200192,21127223,500,23305.08475,SHM BC189Hd,Non AD shampoo,BC189Hd Q20R40G10S08 0.8GS PNT,0.1888,PTN,pack
21249014,21059975,470,24070.02188,SHM BC189H,Non AD shampoo,BC189H A17NKP301015G10S05 1.2MA PNT,0.1828,PTN,pack
80790754,21032813,530,2371.58411,SHM BC177N,PO shampoo,BC177N G1XJ152000 0.5PO NaSal 0.7SC HR,1.8553,HR,On going
21210141,21052767,530,21348.85978,SHM BC177N,PO shampoo,BC177N G1XJ152000 0.5PO NaSal 0.8OB HR,0.2061,HR,pack
80754096,90441514,750,1294.650739,SHM BC156OF,AD shampoo,BC156o F1RT300117 0.4PO 0.65SE RJ,3.3986,EC,On going
21254737,90433045,1000,11652.54237,SHM BC162H QRC,Climbazole shampoo,BC162Hs QRc2400 0.45C 0.285SR AL RJ,0.3776,FC,Pack
21244944,90438064,1000,11652.54237,SHM BC162H QR,Non AD shampoo,BC162Hs QR14048 0.285SB RJ,0.3776,FC,Pack
21164663,90485140,510,22845.27518,SHM BC189H,Non AD shampoo,BC189H A17NKP301015G10S05 0.8Redline PNT,0.1926,PTN,pack
80836451,21156208,1000,1942.004678,SHM BC177N,PO shampoo,BC177N G1XJ151000 o0.3 0.65FL RJ,2.2657,EC,On going
21019541,20171348,300,38834.95146,SHM BC189T,Non AD shampoo,BC189T A20NP1510G05 KTN 0.25M 1.1MT PNT,0.1133,PTN,pack
21039147,20159980,300,38834.95146,SHM BC189H,Non AD shampoo,BC189H A17NKP301015G23 KTN 1.0BTO PNT,0.1133,PTN,pack
80814099,20178683,930,2088.178065,SHM BC188H,PO shampoo,BC188H S+2N40S20 0.5PO 1.3GP PNK,2.1071,HS,GBU
21238277,21196959,400,28277.63496,SHM GH140OT,PO shampoo,GH140o T+0.5H D2N20S08 0.3PO KTN 0.7JA,0.1556,EC,Pack
21251101,21170860,400,28277.63496,SHM BC198O,Non AD shampoo,BC198 O1RP151020L 0.7Mont Blanc RJ,0.1556,EC,pack
21238276,21170860,200,56555.26992,SHM BC198O,Non AD shampoo,BC198 O1RP151020L 0.7Mont Blanc RJ,0.0778,EC,pack
21228323,21196959,200,56555.26992,SHM GH140OT,PO shampoo,GH140o T+0.5H D2N20S08 0.3PO KTN 0.7JA,0.0778,EC,pack
80810106,21021319,530,3664.223851,SHM BC189H,Non AD shampoo,BC189H A17NP2020G10 KTN 1.1ROW PNT,1.2008,PTN,On going
80820455,21170860,750,1294.650739,SHM BC198O,Non AD shampoo,BC198 O1RP151020L 0.7Mont Blanc RJ,3.3986,EC,On going
80820478,21156208,750,1294.650739,SHM BC177N,PO shampoo,BC177N G1XJ151000 o0.3 0.65FL RJ,3.3986,EC,On going
80790737,21032816,530,2371.58411,SHM BC177N,PO shampoo,BC177N G1XJ152000 0.3PO NaSal 0.6HA HR,1.8553,HR,On going
21251102,21196959,500,22622.10797,SHM GH140OT,PO shampoo,GH140o T+0.5H D2N20S08 0.3PO KTN 0.7JA,0.1945,EC,pack
21251416,21161321,400,28277.63496,COND BC840S75,Non AD conditioner,BC840S75-24 1TAS KTN 0.7Mont Blanc RJ,0.1556,EC,pack
80839373,21052767,280,3366.745734,SHM BC177N,PO shampoo,BC177N G1XJ152000 0.5PO NaSal 0.8OB HR,1.3069,HR,HKTW
80820463,21161158,750,1294.650739,SHM BC156CF,Climbazole shampoo,BC156c F1RT300120 0.45C 0.7Mont Blanc RJ,3.3986,EC,On going
80820468,21166117,200,4713.444028,COND BC840S75,Non AD conditioner,BC840S75-24 1TAS KTN 0.7Mont Blanc RJ,0.9335,EC,On going
21167441,21008380,450,25142.85714,SHM BC156OF,AD shampoo,BC156o F+1RT300106 0.5PO 1.7JPM HS,0.175,HS,Pack
80820474,21161321,750,2513.854768,COND BC840S75,Non AD conditioner,BC840S75-24 1TAS KTN 0.7Mont Blanc RJ,1.7503,EC,On going
21210146,21038926,530,21348.85978,SHM BC177N,PO shampoo,BC177N G1XJ152000 0.3PO NaSal 0.7Amer HR,0.2061,HR,Pack
80790745,21052767,530,2371.58411,SHM BC177N,PO shampoo,BC177N G1XJ152000 0.5PO NaSal 0.8OB HR,1.8553,HR,On going
21243492,21161321,200,56555.26992,COND BC840S75,Non AD conditioner,BC840S75-24 1TAS KTN 0.7Mont Blanc RJ,0.0778,EC,Pack
80790730,21032816,280,3366.745734,SHM BC177N,PO shampoo,BC177N G1XJ152000 0.3PO NaSal 0.6HA HR,1.3069,HR,On going
80820466,21170860,1000,1942.004678,SHM BC198O,Non AD shampoo,BC198 O1RP151020L 0.7Mont Blanc RJ,2.2657,EC,On going
21205460,21141983,500,22622.10797,COND BC840M68,Non AD conditioner,BC840 M68-25 4.0TFS NaBz 0.8GS PNT,0.1945,PTN,Pack
